date,n,rolling_avg
2019-01-20,75,59.285714285714285
2019-01-21,66,62.142857142857146
2019-01-22,57,60.857142857142854
2019-01-23,62,61.57142857142857
2019-01-24,51,61.42857142857143
2019-01-25,62,62.142857142857146
2019-01-26,77,64.28571428571429
2019-01-27,78,64.71428571428571
2019-01-28,62,64.14285714285714
2019-01-29,39,61.57142857142857
2019-01-30,55,60.57142857142857
2019-01-31,49,60.285714285714285
2019-02-01,83,63.285714285714285
2019-02-02,91,65.28571428571429
2019-02-03,89,66.85714285714286
2019-02-04,77,69
2019-02-05,60,72
2019-02-06,59,72.57142857142857
2019-02-07,70,75.57142857142857
2019-02-08,55,71.57142857142857
2019-02-09,66,68
2019-02-10,90,68.14285714285714
2019-02-11,63,66.14285714285714
2019-02-12,62,66.42857142857143
2019-02-13,59,66.42857142857143
2019-02-14,58,64.71428571428571
2019-02-15,70,66.85714285714286
2019-02-16,73,67.85714285714286
2019-02-17,75,65.71428571428571
2019-02-18,65,66
2019-02-19,59,65.57142857142857
2019-02-20,67,66.71428571428571
2019-02-21,43,64.57142857142857
2019-02-22,40,60.285714285714285
2019-02-23,85,62
2019-02-24,89,64
2019-02-25,49,61.714285714285715
2019-02-26,52,60.714285714285715
2019-02-27,40,56.857142857142854
2019-02-28,62,59.57142857142857
2019-03-01,77,64.85714285714286
2019-03-02,68,62.42857142857143
2019-03-03,75,60.42857142857143
2019-03-04,50,60.57142857142857
2019-03-05,51,60.42857142857143
2019-03-06,42,60.714285714285715
2019-03-07,49,58.857142857142854
2019-03-08,55,55.714285714285715
2019-03-09,79,57.285714285714285
2019-03-10,66,56
2019-03-11,61,57.57142857142857
2019-03-12,53,57.857142857142854
2019-03-13,63,60.857142857142854
2019-03-14,40,59.57142857142857
2019-03-15,71,61.857142857142854
2019-03-16,65,59.857142857142854
2019-03-17,80,61.857142857142854
2019-03-18,63,62.142857142857146
2019-03-19,53,62.142857142857146
2019-03-20,40,58.857142857142854
2019-03-21,46,59.714285714285715
2019-03-22,55,57.42857142857143
2019-03-23,73,58.57142857142857
2019-03-24,79,58.42857142857143
2019-03-25,66,58.857142857142854
2019-03-26,66,60.714285714285715
2019-03-27,68,64.71428571428571
2019-03-28,53,65.71428571428571
2019-03-29,67,67.42857142857143
2019-03-30,73,67.42857142857143
2019-03-31,95,69.71428571428571
2019-04-01,68,70
2019-04-02,74,71.14285714285714
2019-04-03,58,69.71428571428571
2019-04-04,71,72.28571428571429
2019-04-05,75,73.42857142857143
2019-04-06,90,75.85714285714286
2019-04-07,90,75.14285714285714
2019-04-08,73,75.85714285714286
2019-04-09,61,74
2019-04-10,58,74
2019-04-11,72,74.14285714285714
2019-04-12,64,72.57142857142857
2019-04-13,67,69.28571428571429
2019-04-14,98,70.42857142857143
2019-04-15,80,71.42857142857143
2019-04-16,49,69.71428571428571
2019-04-17,68,71.14285714285714
2019-04-18,55,68.71428571428571
2019-04-19,65,68.85714285714286
2019-04-20,95,72.85714285714286
2019-04-21,88,71.42857142857143
2019-04-22,77,71
2019-04-23,54,71.71428571428571
2019-04-24,58,70.28571428571429
2019-04-25,62,71.28571428571429
2019-04-26,71,72.14285714285714
2019-04-27,78,69.71428571428571
2019-04-28,93,70.42857142857143
2019-04-29,72,69.71428571428571
2019-04-30,62,70.85714285714286
2019-05-01,76,73.42857142857143
2019-05-02,73,75
2019-05-03,63,73.85714285714286
2019-05-04,105,77.71428571428571
2019-05-05,107,79.71428571428571
2019-05-06,75,80.14285714285714
2019-05-07,59,79.71428571428571
2019-05-08,67,78.42857142857143
2019-05-09,75,78.71428571428571
2019-05-10,71,79.85714285714286
2019-05-11,69,74.71428571428571
2019-05-12,93,72.71428571428571
2019-05-13,68,71.71428571428571
2019-05-14,75,74
2019-05-15,61,73.14285714285714
2019-05-16,66,71.85714285714286
2019-05-17,85,73.85714285714286
2019-05-18,84,76
2019-05-19,109,78.28571428571429
2019-05-20,97,82.42857142857143
2019-05-21,80,83.14285714285714
2019-05-22,79,85.71428571428571
2019-05-23,71,86.42857142857143
2019-05-24,74,84.85714285714286
2019-05-25,92,86
2019-05-26,72,80.71428571428571
2019-05-27,79,78.14285714285714
2019-05-28,69,76.57142857142857
2019-05-29,70,75.28571428571429
2019-05-30,79,76.42857142857143
2019-05-31,69,75.71428571428571
2019-06-01,88,75.14285714285714
2019-06-02,101,79.28571428571429
2019-06-03,80,79.42857142857143
2019-06-04,59,78
2019-06-05,52,75.42857142857143
2019-06-06,77,75.14285714285714
2019-06-07,72,75.57142857142857
2019-06-08,95,76.57142857142857
2019-06-09,111,78
2019-06-10,67,76.14285714285714
2019-06-11,85,79.85714285714286
2019-06-12,68,82.14285714285714
2019-06-13,70,81.14285714285714
2019-06-14,72,81.14285714285714
2019-06-15,95,81.14285714285714
2019-06-16,89,78
2019-06-17,66,77.85714285714286
2019-06-18,47,72.42857142857143
2019-06-19,58,71
2019-06-20,52,68.42857142857143
2019-06-21,85,70.28571428571429
2019-06-22,82,68.42857142857143
2019-06-23,84,67.71428571428571
2019-06-24,68,68
2019-06-25,70,71.28571428571429
2019-06-26,61,71.71428571428571
2019-06-27,59,72.71428571428571
2019-06-28,52,68
2019-06-29,74,66.85714285714286
2019-06-30,85,67
2019-07-01,100,71.57142857142857
2019-07-02,69,71.42857142857143
2019-07-03,61,71.42857142857143
2019-07-04,99,77.14285714285714
2019-07-05,68,79.42857142857143
2019-07-06,100,83.14285714285714
2019-07-07,112,87
2019-07-08,86,85
2019-07-09,63,84.14285714285714
2019-07-10,67,85
2019-07-11,64,80
2019-07-12,81,81.85714285714286
2019-07-13,100,81.85714285714286
2019-07-14,103,80.57142857142857
2019-07-15,78,79.42857142857143
2019-07-16,79,81.71428571428571
2019-07-17,78,83.28571428571429
2019-07-18,57,82.28571428571429
2019-07-19,70,80.71428571428571
2019-07-20,97,80.28571428571429
2019-07-21,112,81.57142857142857
2019-07-22,74,81
2019-07-23,64,78.85714285714286
2019-07-24,68,77.42857142857143
2019-07-25,64,78.42857142857143
2019-07-26,75,79.14285714285714
2019-07-27,91,78.28571428571429
2019-07-28,81,73.85714285714286
2019-07-29,85,75.42857142857143
2019-07-30,63,75.28571428571429
2019-07-31,77,76.57142857142857
2019-08-01,77,78.42857142857143
2019-08-02,80,79.14285714285714
2019-08-03,86,78.42857142857143
2019-08-04,110,82.57142857142857
2019-08-05,94,83.85714285714286
2019-08-06,94,88.28571428571429
2019-08-07,66,86.71428571428571
2019-08-08,71,85.85714285714286
2019-08-09,75,85.14285714285714
2019-08-10,103,87.57142857142857
2019-08-11,102,86.42857142857143
2019-08-12,79,84.28571428571429
2019-08-13,82,82.57142857142857
2019-08-14,69,83
2019-08-15,73,83.28571428571429
2019-08-16,57,80.71428571428571
2019-08-17,77,77
2019-08-18,103,77.14285714285714
2019-08-19,72,76.14285714285714
2019-08-20,64,73.57142857142857
2019-08-21,57,71.85714285714286
2019-08-22,77,72.42857142857143
2019-08-23,60,72.85714285714286
2019-08-24,84,73.85714285714286
2019-08-25,81,70.71428571428571
2019-08-26,64,69.57142857142857
2019-08-27,66,69.85714285714286
2019-08-28,60,70.28571428571429
2019-08-29,63,68.28571428571429
2019-08-30,66,69.14285714285714
2019-08-31,107,72.42857142857143
2019-09-01,111,76.71428571428571
2019-09-02,112,83.57142857142857
2019-09-03,71,84.28571428571429
2019-09-04,69,85.57142857142857
2019-09-05,72,86.85714285714286
2019-09-06,66,86.85714285714286
2019-09-07,93,84.85714285714286
2019-09-08,126,87
2019-09-09,81,82.57142857142857
2019-09-10,67,82
2019-09-11,55,80
2019-09-12,75,80.42857142857143
2019-09-13,64,80.14285714285714
2019-09-14,102,81.42857142857143
2019-09-15,102,78
2019-09-16,66,75.85714285714286
2019-09-17,64,75.42857142857143
2019-09-18,71,77.71428571428571
2019-09-19,64,76.14285714285714
2019-09-20,73,77.42857142857143
2019-09-21,86,75.14285714285714
2019-09-22,92,73.71428571428571
2019-09-23,75,75
2019-09-24,69,75.71428571428571
2019-09-25,78,76.71428571428571
2019-09-26,59,76
2019-09-27,74,76.14285714285714
2019-09-28,90,76.71428571428571
2019-09-29,105,78.57142857142857
2019-09-30,68,77.57142857142857
2019-10-01,92,80.85714285714286
2019-10-02,77,80.71428571428571
2019-10-03,52,79.71428571428571
2019-10-04,70,79.14285714285714
2019-10-05,97,80.14285714285714
2019-10-06,101,79.57142857142857
2019-10-07,76,80.71428571428571
2019-10-08,59,76
2019-10-09,55,72.85714285714286
2019-10-10,54,73.14285714285714
2019-10-11,55,71
2019-10-12,86,69.42857142857143
2019-10-13,94,68.42857142857143
2019-10-14,73,68
2019-10-15,87,72
2019-10-16,61,72.85714285714286
2019-10-17,53,72.71428571428571
2019-10-18,70,74.85714285714286
2019-10-19,89,75.28571428571429
2019-10-20,113,78
2019-10-21,62,76.42857142857143
2019-10-22,62,72.85714285714286
2019-10-23,75,74.85714285714286
2019-10-24,66,76.71428571428571
2019-10-25,65,76
2019-10-26,62,72.14285714285714
2019-10-27,72,66.28571428571429
2019-10-28,64,66.57142857142857
2019-10-29,71,67.85714285714286
2019-10-30,66,66.57142857142857
2019-10-31,63,66.14285714285714
2019-11-01,79,68.14285714285714
2019-11-02,69,69.14285714285714
2019-11-03,107,74.14285714285714
2019-11-04,60,73.57142857142857
2019-11-05,62,72.28571428571429
2019-11-06,57,71
2019-11-07,67,71.57142857142857
2019-11-08,65,69.57142857142857
2019-11-09,59,68.14285714285714
2019-11-10,86,65.14285714285714
2019-11-11,69,66.42857142857143
2019-11-12,48,64.42857142857143
2019-11-13,56,64.28571428571429
2019-11-14,63,63.714285714285715
2019-11-15,57,62.57142857142857
2019-11-16,83,66
2019-11-17,100,68
2019-11-18,56,66.14285714285714
2019-11-19,68,69
2019-11-20,66,70.42857142857143
2019-11-21,86,73.71428571428571
2019-11-22,71,75.71428571428571
2019-11-23,110,79.57142857142857
2019-11-24,79,76.57142857142857
2019-11-25,76,79.42857142857143
2019-11-26,70,79.71428571428571
2019-11-27,73,80.71428571428571
2019-11-28,83,80.28571428571429
2019-11-29,84,82.14285714285714
2019-11-30,104,81.28571428571429
2019-12-01,123,87.57142857142857
2019-12-02,66,86.14285714285714
2019-12-03,66,85.57142857142857
2019-12-04,67,84.71428571428571
2019-12-05,62,81.71428571428571
2019-12-06,73,80.14285714285714
2019-12-07,73,75.71428571428571
2019-12-08,92,71.28571428571429
2019-12-09,66,71.28571428571429
2019-12-10,69,71.71428571428571
2019-12-11,58,70.42857142857143
2019-12-12,74,72.14285714285714
2019-12-13,62,70.57142857142857
2019-12-14,76,71
2019-12-15,80,69.28571428571429
2019-12-16,67,69.42857142857143
2019-12-17,52,67
2019-12-18,56,66.71428571428571
2019-12-19,59,64.57142857142857
2019-12-20,68,65.42857142857143
2019-12-21,88,67.14285714285714
2019-12-22,78,66.85714285714286
2019-12-23,67,66.85714285714286
2019-12-24,66,68.85714285714286
2019-12-25,112,76.85714285714286
2019-12-26,63,77.42857142857143
2019-12-27,89,80.42857142857143
2019-12-28,96,81.57142857142857
2019-12-29,85,82.57142857142857
2019-12-30,70,83
2019-12-31,79,84.85714285714286
2020-01-01,150,90.28571428571429
2020-01-02,75,92
2020-01-03,69,89.14285714285714
2020-01-04,94,88.85714285714286
2020-01-05,108,92.14285714285714
2020-01-06,66,91.57142857142857
2020-01-07,58,88.57142857142857
2020-01-08,77,78.14285714285714
2020-01-09,59,75.85714285714286
2020-01-10,51,73.28571428571429
2020-01-11,77,70.85714285714286
2020-01-12,96,69.14285714285714
2020-01-13,57,67.85714285714286
2020-01-14,65,68.85714285714286
2020-01-15,69,67.71428571428571
2020-01-16,59,67.71428571428571
2020-01-17,77,71.42857142857143
2020-01-18,77,71.42857142857143
2020-01-19,83,69.57142857142857
2020-01-20,74,72
2020-01-21,48,69.57142857142857
2020-01-22,66,69.14285714285714
2020-01-23,55,68.57142857142857
2020-01-24,67,67.14285714285714
2020-01-25,65,65.42857142857143
2020-01-26,89,66.28571428571429
2020-01-27,76,66.57142857142857
2020-01-28,65,69
